English,Deutsch
living room,das Wohnzimmer
sofa,das Sofa
couch,die Couch
armchair,der Sessel
carpet,der Teppich
TV,der Fernseher
radio,das Radio
coffee table,der Couchtisch
painting,das Gemälde
picture,das Bild
fireplace,der Kamin
bookstand,das Regal
commode,die Kommode
book,das Buch
magazine,das Magazin
ceiling lamp,die Deckenlampe
chandelier,der Kronleuchter
remote control,die Fernbedienung
couch cushion,das Couchkissen
blanket,die Decke
stool,der Hocker
decoration,die Dekoration
flower,die Blume
curtain,die Gardine
wall shelf,das Wandregal